Firmenname,FNR,Staat,Ort,PLZ,Straße,Gewerbezweig,Funktion,Name,Dummy_Eigenkapitalquote,Dummy_Bilanzsumme
Firma_49,FNR_2086,Deutschland,Salzburg,54631,Straße_90,Handel,Geschäftsführer,Name_49,0.39,4782904.96
Firma_50,FNR_7098,Deutschland,Linz,29156,Straße_39,Handel,Geschäftsführer,Name_50,0.15,68521343.05
Firma_51,FNR_2737,Österreich,Redlham,13342,Straße_85,Dienstleistung,Geschäftsführer,Name_51,0.51,17085063.67
Firma_52,FNR_2664,Österreich,Linz,99239,Straße_66,Dienstleistung,Geschäftsführer,Name_52,0.44,12044843.67
Firma_53,FNR_5142,Schweiz,Amstetten,45315,Straße_17,Dienstleistung,Geschäftsführer,Name_53,0.41,87886708.92
Firma_54,FNR_5084,Schweiz,Redlham,32832,Straße_41,Dienstleistung,Geschäftsführer,Name_54,0.18,53375719.06
Firma_55,FNR_9548,Deutschland,Wien,77174,Straße_18,Dienstleistung,Geschäftsführer,Name_55,0.41,97837259.61
Firma_56,FNR_9313,Österreich,Salzburg,33699,Straße_97,Dienstleistung,Geschäftsführer,Name_56,0.11,77056157.7
Firma_57,FNR_7249,Deutschland,Linz,94387,Straße_100,Dienstleistung,Geschäftsführer,Name_57,0.6,73686642.35
Firma_58,FNR_6059,Österreich,Wien,83569,Straße_20,Dienstleistung,Geschäftsführer,Name_58,0.16,76557555.58
Firma_59,FNR_8275,Deutschland,Guntramsdorf,97532,Straße_43,Handel,Geschäftsführer,Name_59,0.6,21790372.73
Firma_60,FNR_9823,Österreich,Gmunden,87717,Straße_75,Handel,Geschäftsführer,Name_60,0.32,56685273.58
Firma_61,FNR_2532,Deutschland,Wien,26690,Straße_33,Produktion,Geschäftsführer,Name_61,0.31,87728642.8
Firma_62,FNR_6029,Österreich,Linz,75829,Straße_7,Finanzen,Geschäftsführer,Name_62,0.33,94904461.32
Firma_63,FNR_4532,Schweiz,Amstetten,31747,Straße_36,Handel,Geschäftsführer,Name_63,0.12,72691239.32
Firma_64,FNR_7230,Österreich,Salzburg,76143,Straße_79,Finanzen,Geschäftsführer,Name_64,0.16,11886506.87
Firma_65,FNR_6733,Österreich,Gmunden,27933,Straße_72,IT,Geschäftsführer,Name_65,0.28,66312102.04
Firma_66,FNR_7145,Schweiz,Guntramsdorf,21866,Straße_69,Dienstleistung,Geschäftsführer,Name_66,0.51,88384051.81
Firma_67,FNR_5692,Österreich,Amstetten,47820,Straße_52,Dienstleistung,Geschäftsführer,Name_67,0.53,99624420.13
Firma_68,FNR_3667,Deutschland,Guntramsdorf,64994,Straße_11,Finanzen,Geschäftsführer,Name_68,0.29,4390133.13
Firma_69,FNR_2268,Deutschland,Salzburg,96752,Straße_8,Produktion,Geschäftsführer,Name_69,0.43,55646401.92
Firma_70,FNR_5028,Schweiz,Salzburg,61791,Straße_96,Dienstleistung,Geschäftsführer,Name_70,0.17,20852233.63
Firma_71,FNR_9408,Deutschland,Linz,91521,Straße_32,Finanzen,Geschäftsführer,Name_71,0.46,24616354.11
Firma_72,FNR_6150,Deutschland,Wien,84653,Straße_19,IT,Geschäftsführer,Name_72,0.25,71973141.1
Firma_73,FNR_9896,Österreich,Amstetten,74865,Straße_42,IT,Geschäftsführer,Name_73,0.34,98726093.38
Firma_74,FNR_6421,Schweiz,Amstetten,26891,Straße_86,Dienstleistung,Geschäftsführer,Name_74,0.6,75251063.35
Firma_75,FNR_4501,Österreich,Guntramsdorf,99508,Straße_14,Produktion,Geschäftsführer,Name_75,0.57,92700425.65
Firma_76,FNR_5715,Deutschland,Guntramsdorf,87193,Straße_66,Produktion,Geschäftsführer,Name_76,0.34,77183783.34
Firma_77,FNR_7123,Österreich,Linz,13044,Straße_3,Produktion,Geschäftsführer,Name_77,0.52,91286833.15
Firma_78,FNR_5783,Schweiz,Linz,57509,Straße_63,IT,Geschäftsführer,Name_78,0.13,43787243.16
Firma_79,FNR_2853,Deutschland,Wien,72293,Straße_52,IT,Geschäftsführer,Name_79,0.27,15855446.27
Firma_80,FNR_6290,Deutschland,Wien,29668,Straße_77,Finanzen,Geschäftsführer,Name_80,0.15,52365896.27
Firma_81,FNR_7873,Schweiz,Gmunden,34718,Straße_75,Finanzen,Geschäftsführer,Name_81,0.23,85741607.79
Firma_82,FNR_6542,Deutschland,Salzburg,71810,Straße_18,Produktion,Geschäftsführer,Name_82,0.26,13854360.26
Firma_83,FNR_6556,Österreich,Salzburg,73865,Straße_27,Produktion,Geschäftsführer,Name_83,0.2,80005716.13
Firma_84,FNR_5597,Schweiz,Redlham,48619,Straße_75,Produktion,Geschäftsführer,Name_84,0.35,91142313.17
Firma_85,FNR_5209,Deutschland,Salzburg,66070,Straße_67,Produktion,Geschäftsführer,Name_85,0.22,72178484.29
Firma_86,FNR_7862,Österreich,Amstetten,35302,Straße_32,Finanzen,Geschäftsführer,Name_86,0.47,85413415.4
Firma_87,FNR_8691,Österreich,Gmunden,15546,Straße_31,IT,Geschäftsführer,Name_87,0.27,87019512.54
Firma_88,FNR_7050,Deutschland,Salzburg,28531,Straße_27,Produktion,Geschäftsführer,Name_88,0.42,1268417.0
Firma_89,FNR_4880,Deutschland,Wien,33171,Straße_64,Dienstleistung,Geschäftsführer,Name_89,0.13,78807505.98
Firma_90,FNR_7135,Österreich,Redlham,84013,Straße_37,Handel,Geschäftsführer,Name_90,0.59,14885295.12
Firma_91,FNR_5699,Österreich,Wien,17726,Straße_25,Handel,Geschäftsführer,Name_91,0.45,70029618.74
Firma_92,FNR_1449,Deutschland,Guntramsdorf,45744,Straße_57,Produktion,Geschäftsführer,Name_92,0.1,72843353.26
Firma_93,FNR_3922,Schweiz,Wien,88470,Straße_55,Produktion,Geschäftsführer,Name_93,0.22,5601770.17
Firma_94,FNR_4286,Österreich,Wien,22820,Straße_93,Dienstleistung,Geschäftsführer,Name_94,0.38,26425055.15
Firma_95,FNR_5964,Österreich,Linz,44136,Straße_13,Dienstleistung,Geschäftsführer,Name_95,0.5,76182292.48
Firma_96,FNR_5405,Österreich,Gmunden,78063,Straße_55,IT,Geschäftsführer,Name_96,0.35,44688868.94
Firma_97,FNR_6256,Schweiz,Wien,40392,Straße_29,Handel,Geschäftsführer,Name_97,0.6,68781904.15
Firma_98,FNR_5004,Österreich,Redlham,36780,Straße_15,Dienstleistung,Geschäftsführer,Name_98,0.55,37265098.54
Firma_99,FNR_7908,Schweiz,Wien,46164,Straße_46,Finanzen,Geschäftsführer,Name_99,0.49,34749176.69
Firma_100,FNR_4094,Deutschland,Guntramsdorf,35780,Straße_51,IT,Geschäftsführer,Name_100,0.43,46342091.47
Firma_101,FNR_2930,Österreich,Salzburg,74113,Straße_10,Dienstleistung,Geschäftsführer,Name_101,0.59,93708204.63
Firma_102,FNR_2992,Deutschland,Linz,41197,Straße_30,IT,Geschäftsführer,Name_102,0.6,73825282.76
Firma_103,FNR_4524,Schweiz,Wien,92910,Straße_14,IT,Geschäftsführer,Name_103,0.24,43859543.0
Firma_104,FNR_2021,Österreich,Amstetten,27872,Straße_12,Produktion,Geschäftsführer,Name_104,0.33,12424259.64
Firma_105,FNR_9847,Österreich,Wien,16935,Straße_48,Produktion,Geschäftsführer,Name_105,0.31,38859676.73
Firma_106,FNR_9064,Schweiz,Salzburg,37544,Straße_79,Finanzen,Geschäftsführer,Name_106,0.54,68343382.97
Firma_107,FNR_4512,Schweiz,Amstetten,54738,Straße_47,Handel,Geschäftsführer,Name_107,0.29,48653876.8
Firma_108,FNR_5570,Deutschland,Linz,12161,Straße_24,Dienstleistung,Geschäftsführer,Name_108,0.6,32303726.94
Firma_109,FNR_6106,Deutschland,Wien,16012,Straße_4,IT,Geschäftsführer,Name_109,0.21,47907729.11
Firma_110,FNR_4118,Schweiz,Wien,81916,Straße_88,IT,Geschäftsführer,Name_110,0.5,32106637.68
Firma_111,FNR_4781,Schweiz,Linz,19643,Straße_76,Dienstleistung,Geschäftsführer,Name_111,0.43,72204694.92
Firma_112,FNR_4092,Deutschland,Guntramsdorf,51281,Straße_13,Handel,Geschäftsführer,Name_112,0.55,90563789.37
Firma_113,FNR_1645,Deutschland,Amstetten,16726,Straße_18,Handel,Geschäftsführer,Name_113,0.3,24842595.02
Firma_114,FNR_2898,Deutschland,Salzburg,45075,Straße_47,Produktion,Geschäftsführer,Name_114,0.51,67087482.0
Firma_115,FNR_3904,Österreich,Guntramsdorf,18719,Straße_79,Finanzen,Geschäftsführer,Name_115,0.17,43345952.9
Firma_116,FNR_1912,Schweiz,Gmunden,44242,Straße_15,IT,Geschäftsführer,Name_116,0.14,24967939.32
Firma_117,FNR_5716,Deutschland,Salzburg,41569,Straße_99,Finanzen,Geschäftsführer,Name_117,0.31,84656511.3
Firma_118,FNR_2523,Schweiz,Linz,62851,Straße_22,Handel,Geschäftsführer,Name_118,0.34,52448787.35
Firma_119,FNR_8543,Deutschland,Amstetten,90654,Straße_13,Finanzen,Geschäftsführer,Name_119,0.1,58464712.62
Firma_120,FNR_7249,Österreich,Salzburg,74080,Straße_74,IT,Geschäftsführer,Name_120,0.56,63624157.99
Firma_121,FNR_4243,Deutschland,Gmunden,79902,Straße_59,Handel,Geschäftsführer,Name_121,0.58,60155867.68
Firma_122,FNR_2867,Österreich,Gmunden,97983,Straße_91,Produktion,Geschäftsführer,Name_122,0.36,21515475.77
Firma_123,FNR_7066,Österreich,Salzburg,88090,Straße_12,Dienstleistung,Geschäftsführer,Name_123,0.5,26274937.52
Firma_124,FNR_6202,Deutschland,Amstetten,85781,Straße_22,Dienstleistung,Geschäftsführer,Name_124,0.18,21567676.68
Firma_125,FNR_8677,Schweiz,Guntramsdorf,94059,Straße_20,IT,Geschäftsführer,Name_125,0.37,26040681.02
Firma_126,FNR_5210,Deutschland,Redlham,51522,Straße_44,Produktion,Geschäftsführer,Name_126,0.59,33286707.56
Firma_127,FNR_5249,Österreich,Guntramsdorf,63282,Straße_75,Finanzen,Geschäftsführer,Name_127,0.28,62316514.06
Firma_128,FNR_2883,Österreich,Gmunden,18632,Straße_38,Dienstleistung,Geschäftsführer,Name_128,0.26,43065835.0
Firma_129,FNR_3818,Österreich,Linz,58186,Straße_67,Dienstleistung,Geschäftsführer,Name_129,0.2,39254673.2
Firma_130,FNR_5942,Österreich,Linz,59840,Straße_60,IT,Geschäftsführer,Name_130,0.19,25597540.94
Firma_131,FNR_1469,Deutschland,Salzburg,39028,Straße_71,Handel,Geschäftsführer,Name_131,0.27,70339562.11
Firma_132,FNR_5330,Österreich,Salzburg,30504,Straße_50,Produktion,Geschäftsführer,Name_132,0.2,31629474.49
Firma_133,FNR_9873,Österreich,Guntramsdorf,51950,Straße_53,Dienstleistung,Geschäftsführer,Name_133,0.29,61427779.67
Firma_134,FNR_6156,Schweiz,Wien,16622,Straße_97,Produktion,Geschäftsführer,Name_134,0.17,25388594.04
Firma_135,FNR_6926,Deutschland,Amstetten,11762,Straße_2,Finanzen,Geschäftsführer,Name_135,0.34,63550545.08
Firma_136,FNR_3051,Österreich,Redlham,38040,Straße_92,IT,Geschäftsführer,Name_136,0.59,68772327.59
Firma_137,FNR_2447,Deutschland,Amstetten,40417,Straße_47,Handel,Geschäftsführer,Name_137,0.56,22282309.45
Firma_138,FNR_2148,Österreich,Linz,32556,Straße_92,Dienstleistung,Geschäftsführer,Name_138,0.28,88689414.73
Firma_139,FNR_1987,Schweiz,Wien,63511,Straße_14,IT,Geschäftsführer,Name_139,0.52,88987673.32
Firma_140,FNR_2190,Deutschland,Guntramsdorf,59983,Straße_21,Produktion,Geschäftsführer,Name_140,0.16,28753362.63
Firma_141,FNR_3398,Österreich,Salzburg,36998,Straße_73,Handel,Geschäftsführer,Name_141,0.34,14443498.46
Firma_142,FNR_5230,Österreich,Amstetten,19731,Straße_5,Produktion,Geschäftsführer,Name_142,0.44,53707706.37
Firma_143,FNR_9780,Schweiz,Guntramsdorf,70004,Straße_42,Dienstleistung,Geschäftsführer,Name_143,0.23,15972090.75
Firma_144,FNR_3238,Deutschland,Salzburg,91782,Straße_73,IT,Geschäftsführer,Name_144,0.43,45312764.46
Firma_145,FNR_9415,Deutschland,Linz,29686,Straße_4,IT,Geschäftsführer,Name_145,0.18,49852087.34
Firma_146,FNR_8209,Deutschland,Salzburg,65335,Straße_70,Handel,Geschäftsführer,Name_146,0.3,56788688.95
Firma_147,FNR_9990,Österreich,Guntramsdorf,52005,Straße_36,Handel,Geschäftsführer,Name_147,0.39,36311194.09
Firma_148,FNR_1562,Deutschland,Salzburg,84135,Straße_26,Finanzen,Geschäftsführer,Name_148,0.5,72432540.84
Firma_149,FNR_3289,Deutschland,Gmunden,70136,Straße_59,Finanzen,Geschäftsführer,Name_149,0.36,65281964.71
Firma_150,FNR_6729,Deutschland,Wien,69790,Straße_99,Handel,Geschäftsführer,Name_150,0.51,57024218.07
Firma_151,FNR_7245,Schweiz,Amstetten,85124,Straße_66,Handel,Geschäftsführer,Name_151,0.15,23766338.09
Firma_152,FNR_3182,Österreich,Gmunden,25729,Straße_41,Produktion,Geschäftsführer,Name_152,0.23,17962882.29
Firma_153,FNR_9067,Österreich,Gmunden,94897,Straße_74,Produktion,Geschäftsführer,Name_153,0.12,40281158.76
Firma_154,FNR_7274,Österreich,Redlham,51471,Straße_95,Finanzen,Geschäftsführer,Name_154,0.33,36684853.03
Firma_155,FNR_6567,Österreich,Amstetten,44494,Straße_71,Produktion,Geschäftsführer,Name_155,0.12,53558679.42
Firma_156,FNR_9540,Österreich,Redlham,74160,Straße_65,Produktion,Geschäftsführer,Name_156,0.42,21955775.44
Firma_157,FNR_5436,Deutschland,Wien,22191,Straße_59,Produktion,Geschäftsführer,Name_157,0.22,79723458.78
Firma_158,FNR_2851,Österreich,Linz,91771,Straße_36,Produktion,Geschäftsführer,Name_158,0.45,85931444.05
Firma_159,FNR_8579,Schweiz,Salzburg,93926,Straße_11,Produktion,Geschäftsführer,Name_159,0.13,3138201.55
Firma_160,FNR_7223,Österreich,Gmunden,25249,Straße_54,IT,Geschäftsführer,Name_160,0.45,50043305.05
Firma_161,FNR_2182,Deutschland,Amstetten,33671,Straße_49,Dienstleistung,Geschäftsführer,Name_161,0.43,53172531.81
Firma_162,FNR_3917,Österreich,Guntramsdorf,57230,Straße_71,Produktion,Geschäftsführer,Name_162,0.33,79228528.11
Firma_163,FNR_7145,Österreich,Amstetten,32132,Straße_63,Dienstleistung,Geschäftsführer,Name_163,0.47,79713083.51
Firma_164,FNR_4823,Schweiz,Salzburg,40872,Straße_19,Dienstleistung,Geschäftsführer,Name_164,0.4,14469748.0
Firma_165,FNR_4295,Deutschland,Linz,41148,Straße_38,Dienstleistung,Geschäftsführer,Name_165,0.16,6546337.19
Firma_166,FNR_9929,Deutschland,Amstetten,41444,Straße_52,IT,Geschäftsführer,Name_166,0.49,7087193.05
Firma_167,FNR_8845,Deutschland,Redlham,33761,Straße_70,Finanzen,Geschäftsführer,Name_167,0.56,34605100.58
Firma_168,FNR_1836,Österreich,Gmunden,31185,Straße_24,Handel,Geschäftsführer,Name_168,0.23,68252258.04
Firma_169,FNR_4628,Deutschland,Linz,15864,Straße_22,Produktion,Geschäftsführer,Name_169,0.57,60165190.47
Firma_170,FNR_1184,Österreich,Guntramsdorf,38355,Straße_59,IT,Geschäftsführer,Name_170,0.38,59444331.11
Firma_171,FNR_8525,Österreich,Linz,65231,Straße_19,Produktion,Geschäftsführer,Name_171,0.39,23861015.81
Firma_172,FNR_1805,Österreich,Redlham,56502,Straße_97,Dienstleistung,Geschäftsführer,Name_172,0.12,96983798.92
Firma_173,FNR_5673,Deutschland,Linz,58134,Straße_16,IT,Geschäftsführer,Name_173,0.24,23304004.1
Firma_174,FNR_8137,Schweiz,Gmunden,44658,Straße_98,IT,Geschäftsführer,Name_174,0.22,16112727.24
Firma_175,FNR_2891,Deutschland,Redlham,52743,Straße_10,Dienstleistung,Geschäftsführer,Name_175,0.34,82021785.72
Firma_176,FNR_7615,Schweiz,Guntramsdorf,23742,Straße_95,Finanzen,Geschäftsführer,Name_176,0.41,71271479.5
Firma_177,FNR_3247,Österreich,Gmunden,32667,Straße_68,Handel,Geschäftsführer,Name_177,0.57,93565461.04
Firma_178,FNR_5819,Österreich,Linz,27909,Straße_12,IT,Geschäftsführer,Name_178,0.3,50190813.51
Firma_179,FNR_1998,Deutschland,Redlham,21055,Straße_59,Dienstleistung,Geschäftsführer,Name_179,0.22,71833373.01
Firma_180,FNR_9766,Schweiz,Redlham,25073,Straße_37,Finanzen,Geschäftsführer,Name_180,0.52,89501589.66
Firma_181,FNR_1235,Deutschland,Amstetten,30345,Straße_76,Finanzen,Geschäftsführer,Name_181,0.19,10868361.16
Firma_182,FNR_1313,Deutschland,Salzburg,11595,Straße_11,Produktion,Geschäftsführer,Name_182,0.29,36203647.01
Firma_183,FNR_7472,Österreich,Wien,25308,Straße_56,Dienstleistung,Geschäftsführer,Name_183,0.14,69340403.24
Firma_184,FNR_3244,Schweiz,Guntramsdorf,72845,Straße_7,Handel,Geschäftsführer,Name_184,0.38,88638048.12
Firma_185,FNR_9713,Deutschland,Guntramsdorf,52775,Straße_77,Finanzen,Geschäftsführer,Name_185,0.59,36204184.85
Firma_186,FNR_9808,Österreich,Redlham,68782,Straße_23,Produktion,Geschäftsführer,Name_186,0.21,26221860.7
Firma_187,FNR_1030,Deutschland,Gmunden,27456,Straße_62,IT,Geschäftsführer,Name_187,0.45,11601461.04
Firma_188,FNR_9022,Österreich,Gmunden,76004,Straße_15,Dienstleistung,Geschäftsführer,Name_188,0.37,60638083.48
Firma_189,FNR_4959,Deutschland,Gmunden,98754,Straße_25,Finanzen,Geschäftsführer,Name_189,0.43,69596620.88
Firma_190,FNR_3642,Deutschland,Wien,57610,Straße_95,Finanzen,Geschäftsführer,Name_190,0.51,26540885.33
Firma_191,FNR_3941,Schweiz,Linz,15752,Straße_92,IT,Geschäftsführer,Name_191,0.27,56632461.34
Firma_192,FNR_9711,Deutschland,Guntramsdorf,71930,Straße_41,Produktion,Geschäftsführer,Name_192,0.28,95327956.62
Firma_193,FNR_4028,Österreich,Redlham,49325,Straße_3,Produktion,Geschäftsführer,Name_193,0.32,4904073.61
Firma_194,FNR_4232,Deutschland,Amstetten,25852,Straße_36,Finanzen,Geschäftsführer,Name_194,0.21,35255004.08
Firma_195,FNR_5138,Österreich,Wien,19834,Straße_2,Finanzen,Geschäftsführer,Name_195,0.5,47896030.46
Firma_196,FNR_8249,Deutschland,Gmunden,63742,Straße_29,Dienstleistung,Geschäftsführer,Name_196,0.18,31641109.45
Firma_197,FNR_1490,Deutschland,Wien,54678,Straße_96,Handel,Geschäftsführer,Name_197,0.48,69647565.08
Firma_198,FNR_7217,Deutschland,Wien,21943,Straße_47,Dienstleistung,Geschäftsführer,Name_198,0.33,28234701.25
Firma_199,FNR_8924,Österreich,Wien,94662,Straße_90,Handel,Geschäftsführer,Name_199,0.43,39511855.9
Firma_200,FNR_7969,Deutschland,Gmunden,13475,Straße_54,Finanzen,Geschäftsführer,Name_200,0.23,84064489.71
Firma_201,FNR_2265,Deutschland,Linz,96439,Straße_48,Dienstleistung,Geschäftsführer,Name_201,0.26,18753683.07
Firma_202,FNR_7993,Österreich,Wien,93778,Straße_82,Finanzen,Geschäftsführer,Name_202,0.31,63690147.19
Firma_203,FNR_9403,Österreich,Salzburg,59559,Straße_94,Produktion,Geschäftsführer,Name_203,0.34,98748643.64
Firma_204,FNR_6422,Österreich,Gmunden,68961,Straße_72,Dienstleistung,Geschäftsführer,Name_204,0.25,99952018.16
Firma_205,FNR_5473,Österreich,Redlham,75120,Straße_67,IT,Geschäftsführer,Name_205,0.56,4464859.48
Firma_206,FNR_9921,Österreich,Salzburg,99529,Straße_43,Dienstleistung,Geschäftsführer,Name_206,0.47,7363789.8
Firma_207,FNR_6394,Deutschland,Amstetten,21727,Straße_69,Finanzen,Geschäftsführer,Name_207,0.42,68263821.22
Firma_208,FNR_8226,Schweiz,Amstetten,16182,Straße_65,Handel,Geschäftsführer,Name_208,0.33,83116077.19
Firma_209,FNR_5030,Deutschland,Wien,99296,Straße_45,Dienstleistung,Geschäftsführer,Name_209,0.28,90952401.1
Firma_210,FNR_8973,Österreich,Linz,12601,Straße_81,Handel,Geschäftsführer,Name_210,0.36,43556773.71
Firma_211,FNR_4269,Österreich,Redlham,42934,Straße_73,Produktion,Geschäftsführer,Name_211,0.12,42965528.84
Firma_212,FNR_2158,Deutschland,Linz,19168,Straße_19,Finanzen,Geschäftsführer,Name_212,0.4,11292048.39
Firma_213,FNR_6667,Deutschland,Gmunden,37810,Straße_8,Finanzen,Geschäftsführer,Name_213,0.6,70218724.62
Firma_214,FNR_7270,Schweiz,Redlham,28728,Straße_63,Dienstleistung,Geschäftsführer,Name_214,0.12,57055507.07
Firma_215,FNR_7807,Deutschland,Gmunden,24836,Straße_29,Produktion,Geschäftsführer,Name_215,0.23,11590493.76
Firma_216,FNR_1638,Schweiz,Redlham,59227,Straße_3,Finanzen,Geschäftsführer,Name_216,0.3,98699449.0
Firma_217,FNR_8398,Schweiz,Linz,14001,Straße_41,Produktion,Geschäftsführer,Name_217,0.24,34856519.62
Firma_218,FNR_1515,Österreich,Linz,68052,Straße_3,Finanzen,Geschäftsführer,Name_218,0.59,2004029.99
Firma_219,FNR_7845,Deutschland,Amstetten,18614,Straße_98,Produktion,Geschäftsführer,Name_219,0.12,2077908.67
Firma_220,FNR_5841,Deutschland,Salzburg,83824,Straße_42,IT,Geschäftsführer,Name_220,0.17,23007331.83
Firma_221,FNR_6975,Deutschland,Linz,94711,Straße_69,Dienstleistung,Geschäftsführer,Name_221,0.36,98246018.73
