Eigentümer_FNR,Beteiligung_an_FNR,Prozent
FNR_9561,FNR_2091,9
FNR_8923,FNR_2091,37
FNR_6847,FNR_5244,100
FNR_7778,FNR_2394,100
FNR_5805,FNR_9717,21
FNR_8227,FNR_9717,79
FNR_3827,FNR_9561,53
FNR_8512,FNR_9561,47
FNR_2393,FNR_6240,100
FNR_5604,FNR_4929,100
FNR_1772,FNR_6016,100
FNR_4358,FNR_7040,56
FNR_3187,FNR_7040,9
FNR_8651,FNR_7040,35
FNR_8011,FNR_4362,56
FNR_1583,FNR_4362,15
FNR_9027,FNR_4362,29
FNR_9503,FNR_7044,100
FNR_4957,FNR_5067,20
FNR_1153,FNR_5067,80
FNR_4057,FNR_9503,24
FNR_3759,FNR_9503,76
FNR_3754,FNR_4702,100
FNR_5387,FNR_1081,16
FNR_8477,FNR_1081,84
FNR_7789,FNR_1877,38
FNR_3818,FNR_1877,51
FNR_1731,FNR_1877,11
FNR_7778,FNR_6216,40
FNR_3562,FNR_6216,60
FNR_2083,FNR_8539,28
FNR_2937,FNR_8539,72
FNR_9817,FNR_5692,100
FNR_6866,FNR_8917,100
FNR_9557,FNR_2383,29
FNR_9239,FNR_2383,71
FNR_4253,FNR_3241,60
FNR_8629,FNR_3241,40
FNR_2335,FNR_1182,100
FNR_8752,FNR_2820,100
FNR_3754,FNR_4514,30
FNR_4715,FNR_4514,30
FNR_8865,FNR_4514,40
FNR_8859,FNR_6243,49
FNR_2911,FNR_6243,51
FNR_1504,FNR_4407,53
FNR_2930,FNR_4407,47
FNR_2131,FNR_4105,100
FNR_4111,FNR_6365,25
FNR_3188,FNR_6365,75
FNR_1166,FNR_9960,52
FNR_4932,FNR_9960,13
FNR_4824,FNR_9960,35
FNR_2038,FNR_8000,57
FNR_5641,FNR_8000,43
FNR_7533,FNR_2085,44
FNR_3286,FNR_2085,13
FNR_8790,FNR_2085,43
FNR_7046,FNR_9809,100
FNR_4102,FNR_4702,100
FNR_6191,FNR_1911,43
FNR_9840,FNR_1911,50
FNR_5222,FNR_1911,7
FNR_6365,FNR_1926,42
FNR_7544,FNR_1926,58
FNR_6269,FNR_4253,100
FNR_5302,FNR_3548,14
FNR_9290,FNR_3548,20
FNR_1525,FNR_3548,66
FNR_9488,FNR_6606,36
FNR_6112,FNR_6606,19
FNR_2900,FNR_6606,45
FNR_2133,FNR_3214,13
FNR_7854,FNR_3214,87
FNR_7481,FNR_1563,12
FNR_8708,FNR_1563,39
FNR_3695,FNR_1563,49
FNR_6318,FNR_6761,100
FNR_8675,FNR_8686,9
FNR_4682,FNR_8686,30
FNR_2819,FNR_8686,61
FNR_3868,FNR_6199,53
FNR_8675,FNR_6199,37
FNR_8215,FNR_6199,10
FNR_7789,FNR_9378,50
FNR_3274,FNR_9378,8
FNR_3631,FNR_9378,42
FNR_3744,FNR_4707,100
FNR_9918,FNR_6833,60
FNR_5697,FNR_6833,34
FNR_4750,FNR_6833,6
FNR_9545,FNR_1414,42
FNR_1289,FNR_1414,58
FNR_4253,FNR_8923,39
FNR_7700,FNR_8923,16
FNR_9202,FNR_8923,45
FNR_4294,FNR_5503,15
FNR_3092,FNR_5503,33
FNR_5273,FNR_5503,52
FNR_2930,FNR_4799,60
FNR_7481,FNR_4799,10
FNR_7130,FNR_4799,30
FNR_5751,FNR_3592,56
FNR_7699,FNR_3592,5
FNR_5548,FNR_3592,39
FNR_5244,FNR_8456,9
FNR_2062,FNR_8456,91
FNR_5081,FNR_9069,10
FNR_2504,FNR_9069,90
FNR_4315,FNR_9927,35
FNR_8484,FNR_9927,41
FNR_8219,FNR_9927,24
FNR_7844,FNR_2413,100
FNR_9717,FNR_4884,100
FNR_9369,FNR_7782,100
FNR_6858,FNR_5302,100
FNR_6951,FNR_3868,56
FNR_5786,FNR_3868,44
FNR_2449,FNR_1347,18
FNR_9167,FNR_1347,55
FNR_8924,FNR_1347,27
FNR_1229,FNR_4212,49
FNR_2937,FNR_4212,39
FNR_4735,FNR_4212,12
FNR_3274,FNR_5432,59
FNR_6633,FNR_5432,8
FNR_6941,FNR_5432,33
FNR_5548,FNR_3548,100
FNR_2399,FNR_5475,21
FNR_7693,FNR_5475,79
FNR_6486,FNR_7700,43
FNR_5314,FNR_7700,57
FNR_9488,FNR_4162,100
FNR_5067,FNR_8924,100
FNR_2133,FNR_6884,100
FNR_8477,FNR_8509,49
FNR_3744,FNR_8509,51
FNR_2133,FNR_1147,30
FNR_8299,FNR_1147,58
FNR_3362,FNR_1147,12
FNR_3817,FNR_9826,100
FNR_3205,FNR_8634,32
FNR_3106,FNR_8634,19
FNR_6612,FNR_8634,49
FNR_1461,FNR_4121,24
FNR_1166,FNR_4121,76
FNR_7143,FNR_1202,100
FNR_6661,FNR_8461,58
FNR_2896,FNR_8461,42
FNR_7070,FNR_5613,100
FNR_7096,FNR_9202,100
FNR_8364,FNR_1899,21
FNR_4089,FNR_1899,56
FNR_1648,FNR_1899,23
FNR_8917,FNR_7481,100
FNR_5612,FNR_2678,57
FNR_9083,FNR_2678,43
FNR_8539,FNR_8835,26
FNR_3744,FNR_8835,36
FNR_1182,FNR_8835,38
FNR_5085,FNR_7878,54
FNR_5921,FNR_7878,46
FNR_5818,FNR_2668,100
FNR_9089,FNR_8484,100
FNR_4362,FNR_1153,24
FNR_4651,FNR_1153,76
FNR_1265,FNR_3892,100
FNR_9394,FNR_2752,100
FNR_6021,FNR_4358,100
FNR_5366,FNR_1516,21
FNR_5418,FNR_1516,58
FNR_8529,FNR_1516,21
FNR_5511,FNR_8724,31
FNR_2472,FNR_8724,69
FNR_1852,FNR_5511,5
FNR_4651,FNR_5511,26
FNR_3999,FNR_5511,69
FNR_2919,FNR_8708,55
FNR_3241,FNR_8708,45
FNR_6802,FNR_6180,43
FNR_8461,FNR_6180,57
FNR_4607,FNR_2023,5
FNR_1888,FNR_2023,95
FNR_1404,FNR_4591,44
FNR_5290,FNR_4591,56
FNR_8769,FNR_7327,46
FNR_4500,FNR_7327,10
FNR_5120,FNR_7327,44
FNR_2530,FNR_7896,6
FNR_7130,FNR_7896,51
FNR_1806,FNR_7896,43
FNR_9726,FNR_4354,8
FNR_3043,FNR_4354,60
FNR_1116,FNR_4354,32
FNR_2359,FNR_4703,51
FNR_4243,FNR_4703,49
FNR_2900,FNR_9514,12
FNR_8322,FNR_9514,88
FNR_3443,FNR_7454,47
FNR_9836,FNR_7454,21
FNR_3105,FNR_7454,32
FNR_7030,FNR_3050,18
FNR_1404,FNR_3050,14
FNR_2094,FNR_3050,68
FNR_8594,FNR_5179,20
FNR_6581,FNR_5179,80
FNR_8906,FNR_9898,40
FNR_1695,FNR_9898,60
FNR_7700,FNR_3255,8
FNR_9737,FNR_3255,92
FNR_8061,FNR_1437,100
FNR_8923,FNR_2900,100
FNR_7595,FNR_7651,100
FNR_4102,FNR_2223,100
FNR_6591,FNR_4012,100
FNR_1525,FNR_6685,44
FNR_2614,FNR_6685,56
FNR_8938,FNR_5477,25
FNR_4317,FNR_5477,12
FNR_4467,FNR_5477,63
FNR_8782,FNR_9369,30
FNR_1731,FNR_9369,70
FNR_9927,FNR_9935,9
FNR_7732,FNR_9935,91
FNR_5226,FNR_9686,44
FNR_1933,FNR_9686,51
FNR_5222,FNR_9686,5
FNR_8896,FNR_8629,100
FNR_9060,FNR_4978,33
FNR_9170,FNR_4978,67
FNR_8557,FNR_7150,100
FNR_8923,FNR_7460,54
FNR_6857,FNR_7460,46
FNR_1410,FNR_1173,42
FNR_6050,FNR_1173,58
FNR_8786,FNR_1592,52
FNR_7481,FNR_1592,48
FNR_4715,FNR_2062,31
FNR_8786,FNR_2062,45
FNR_9937,FNR_2062,24
FNR_1731,FNR_2151,36
FNR_3050,FNR_2151,42
FNR_7261,FNR_2151,22
FNR_3552,FNR_4111,7
FNR_3364,FNR_4111,93
FNR_2930,FNR_1101,7
FNR_2700,FNR_1101,93
FNR_7693,FNR_3749,35
FNR_1740,FNR_3749,65
FNR_1962,FNR_1277,41
FNR_4510,FNR_1277,59
FNR_6884,FNR_7938,100
FNR_4802,FNR_6278,50
FNR_1202,FNR_6278,50
FNR_1202,FNR_7954,100
FNR_2844,FNR_5956,29
FNR_4111,FNR_5956,50
FNR_4121,FNR_5956,21
FNR_2441,FNR_1289,7
FNR_8595,FNR_1289,93
FNR_4747,FNR_7722,100
FNR_9835,FNR_3864,11
FNR_5641,FNR_3864,89
FNR_8219,FNR_6564,8
FNR_7693,FNR_6564,26
FNR_8978,FNR_6564,66
FNR_1525,FNR_2767,100
FNR_5468,FNR_8512,11
FNR_3072,FNR_8512,89
FNR_4510,FNR_2425,44
FNR_8000,FNR_2425,43
FNR_9896,FNR_2425,13
FNR_2023,FNR_1633,16
FNR_2127,FNR_1633,84
FNR_1956,FNR_2504,34
FNR_7261,FNR_2504,66
FNR_1625,FNR_7526,100
FNR_6956,FNR_3689,55
FNR_1404,FNR_3689,10
FNR_8406,FNR_3689,35
FNR_1516,FNR_2195,100
FNR_3286,FNR_3156,22
FNR_7097,FNR_3156,31
FNR_5477,FNR_3156,47
FNR_6021,FNR_1053,100
FNR_1202,FNR_4057,24
FNR_3705,FNR_4057,51
FNR_4113,FNR_4057,25
FNR_2575,FNR_6956,21
FNR_7061,FNR_6956,79
FNR_1192,FNR_1777,10
FNR_2548,FNR_1777,90
FNR_7923,FNR_9737,36
FNR_1421,FNR_9737,64
FNR_2147,FNR_9612,35
FNR_1445,FNR_9612,31
FNR_8595,FNR_9612,34
FNR_6112,FNR_9840,50
FNR_3241,FNR_9840,29
FNR_9946,FNR_9840,21
FNR_6581,FNR_3819,37
FNR_4008,FNR_3819,63
FNR_4517,FNR_5222,23
FNR_9840,FNR_5222,77
FNR_3187,FNR_4209,49
FNR_2853,FNR_4209,51
FNR_7608,FNR_4735,100
FNR_9791,FNR_5081,28
FNR_8367,FNR_5081,50
FNR_7595,FNR_5081,22
FNR_1206,FNR_2446,100
FNR_1738,FNR_7459,48
FNR_2504,FNR_7459,15
FNR_1683,FNR_7459,37
FNR_5105,FNR_4770,100
FNR_6951,FNR_7293,9
FNR_5548,FNR_7293,37
FNR_8991,FNR_7293,54
FNR_5945,FNR_7763,100
FNR_5167,FNR_5949,42
FNR_4212,FNR_5949,58
FNR_3185,FNR_3364,100
FNR_4105,FNR_9724,23
FNR_4149,FNR_9724,47
FNR_1199,FNR_9724,30
FNR_5322,FNR_5581,100
FNR_2023,FNR_6483,33
FNR_6551,FNR_6483,30
FNR_8670,FNR_6483,37
FNR_4467,FNR_1421,10
FNR_8509,FNR_1421,90
FNR_9165,FNR_4126,30
FNR_9399,FNR_4126,21
FNR_2218,FNR_4126,49
FNR_8561,FNR_9053,100
FNR_6857,FNR_1660,59
FNR_7985,FNR_1660,23
FNR_9907,FNR_1660,18
FNR_1895,FNR_1787,50
FNR_7342,FNR_1787,34
FNR_5273,FNR_1787,16
FNR_8740,FNR_2319,48
FNR_6296,FNR_2319,22
FNR_1414,FNR_2319,30
FNR_1695,FNR_6772,60
FNR_1836,FNR_6772,40
FNR_6070,FNR_7242,52
FNR_7608,FNR_7242,48
FNR_5708,FNR_4380,40
FNR_2637,FNR_4380,60
FNR_8219,FNR_9718,100
FNR_4852,FNR_5298,24
FNR_1926,FNR_5298,76
FNR_2738,FNR_6785,100
FNR_9463,FNR_6676,13
FNR_2458,FNR_6676,87
FNR_2813,FNR_6431,100
FNR_5823,FNR_5818,100
FNR_7159,FNR_9655,21
FNR_6804,FNR_9655,79
FNR_8896,FNR_8852,23
FNR_3819,FNR_8852,44
FNR_4702,FNR_8852,33
FNR_7344,FNR_6545,36
FNR_3308,FNR_6545,64
FNR_7096,FNR_6146,19
FNR_1153,FNR_6146,81
FNR_5774,FNR_3137,55
FNR_2991,FNR_3137,10
FNR_1787,FNR_3137,35
FNR_7854,FNR_1836,100
FNR_9557,FNR_6112,41
FNR_6620,FNR_6112,41
FNR_4938,FNR_6112,18
FNR_2647,FNR_1700,100
FNR_5837,FNR_1654,38
FNR_9973,FNR_1654,62
FNR_8426,FNR_9954,24
FNR_5751,FNR_9954,19
FNR_4957,FNR_9954,57
FNR_6631,FNR_9078,52
FNR_7242,FNR_9078,48
FNR_9655,FNR_9660,13
FNR_2046,FNR_9660,87
FNR_8594,FNR_9497,49
FNR_9369,FNR_9497,44
FNR_7460,FNR_9497,7
FNR_2413,FNR_3095,52
FNR_8589,FNR_3095,48
FNR_4715,FNR_2399,100
FNR_2778,FNR_4315,100
FNR_4215,FNR_3234,39
FNR_1206,FNR_3234,6
FNR_9928,FNR_3234,55
FNR_4255,FNR_1806,22
FNR_4582,FNR_1806,78
FNR_1123,FNR_4413,7
FNR_5933,FNR_4413,38
FNR_9378,FNR_4413,55
FNR_4319,FNR_4666,50
FNR_8221,FNR_4666,8
FNR_4705,FNR_4666,42
FNR_6180,FNR_8364,100
FNR_3693,FNR_2458,5
FNR_8248,FNR_2458,95
FNR_2864,FNR_7463,18
FNR_9219,FNR_7463,82
FNR_2579,FNR_7111,100
FNR_8515,FNR_8221,100
FNR_4498,FNR_6620,100
FNR_2143,FNR_4408,60
FNR_7034,FNR_4408,29
FNR_5800,FNR_4408,11
FNR_8406,FNR_5418,54
FNR_3185,FNR_5418,10
FNR_1313,FNR_5418,36
FNR_1202,FNR_9896,30
FNR_3592,FNR_9896,70
FNR_8714,FNR_4359,36
FNR_9561,FNR_4359,24
FNR_7327,FNR_4359,40
FNR_6306,FNR_2659,100
FNR_1626,FNR_6136,100
FNR_9026,FNR_9615,100
FNR_6631,FNR_8921,7
FNR_1660,FNR_8921,93
FNR_4799,FNR_8557,100
FNR_3274,FNR_6406,100
FNR_8477,FNR_5290,39
FNR_8284,FNR_5290,17
FNR_4312,FNR_5290,44
FNR_4025,FNR_4705,43
FNR_5702,FNR_4705,57
FNR_1355,FNR_1410,11
FNR_3548,FNR_1410,36
FNR_9538,FNR_1410,53
FNR_5786,FNR_7121,100
FNR_5837,FNR_5604,54
FNR_1206,FNR_5604,33
FNR_8724,FNR_5604,13
FNR_7143,FNR_2948,17
FNR_6663,FNR_2948,83
FNR_7827,FNR_3383,7
FNR_3106,FNR_3383,23
FNR_9027,FNR_3383,70
FNR_7327,FNR_3018,100
FNR_2320,FNR_7693,48
FNR_1366,FNR_7693,25
FNR_9899,FNR_7693,27
FNR_9170,FNR_9167,38
FNR_6040,FNR_9167,62
FNR_8306,FNR_4304,100
FNR_7070,FNR_4236,14
FNR_8938,FNR_4236,86
FNR_8650,FNR_7738,43
FNR_7111,FNR_7738,7
FNR_5744,FNR_7738,50
FNR_6612,FNR_7143,39
FNR_8762,FNR_7143,61
FNR_9224,FNR_2853,23
FNR_5067,FNR_2853,77
FNR_1046,FNR_9241,100
FNR_7608,FNR_3867,100
FNR_3205,FNR_8877,28
FNR_2359,FNR_8877,17
FNR_9290,FNR_8877,55
FNR_8107,FNR_2987,8
FNR_3214,FNR_2987,92
FNR_9276,FNR_5419,22
FNR_4591,FNR_5419,78
FNR_6804,FNR_8594,49
FNR_9946,FNR_8594,51
FNR_9497,FNR_2182,38
FNR_1899,FNR_2182,62
FNR_3797,FNR_2738,51
FNR_6590,FNR_2738,49
FNR_3827,FNR_9899,6
FNR_1602,FNR_9899,94
FNR_7655,FNR_4215,37
FNR_7571,FNR_4215,18
FNR_5894,FNR_4215,45
FNR_8367,FNR_7566,38
FNR_6483,FNR_7566,52
FNR_1836,FNR_7566,10
FNR_5256,FNR_8548,40
FNR_4475,FNR_8548,34
FNR_6790,FNR_8548,26
FNR_5786,FNR_1022,100
FNR_7738,FNR_3308,6
FNR_7111,FNR_3308,23
FNR_1724,FNR_3308,71
FNR_3331,FNR_1320,60
FNR_8482,FNR_1320,30
FNR_2413,FNR_1320,10
FNR_6191,FNR_5226,43
FNR_7012,FNR_5226,57
FNR_6365,FNR_6941,100
FNR_1180,FNR_2647,13
FNR_4357,FNR_2647,10
FNR_4607,FNR_2647,77
FNR_6955,FNR_1363,100
FNR_6037,FNR_2397,34
FNR_9165,FNR_2397,66
