Eigentümer_FNR,Beteiligung_an_FNR,Prozent
FNR_4633,FNR_3490,45
FNR_2614,FNR_6895,46
FNR_1645,FNR_6895,15
FNR_2702,FNR_6895,39
FNR_9336,FNR_7725,49
FNR_1280,FNR_7725,34
FNR_2923,FNR_7725,17
FNR_8034,FNR_3478,100
FNR_1816,FNR_5983,50
FNR_3490,FNR_5983,50
FNR_8077,FNR_3325,46
FNR_7685,FNR_3325,44
FNR_3908,FNR_3325,10
FNR_3021,FNR_6941,45
FNR_2740,FNR_6941,36
FNR_7254,FNR_6941,19
FNR_8769,FNR_8043,31
FNR_3719,FNR_8043,69
FNR_7634,FNR_9460,10
FNR_3950,FNR_9460,36
FNR_4188,FNR_9460,54
FNR_5806,FNR_2209,100
FNR_3474,FNR_7796,44
FNR_8738,FNR_7796,25
FNR_5549,FNR_7796,31
FNR_3056,FNR_5028,25
FNR_2223,FNR_5028,16
FNR_4311,FNR_5028,59
FNR_2314,FNR_8516,27
FNR_8647,FNR_8516,37
FNR_1645,FNR_8516,36
FNR_1812,FNR_7843,50
FNR_8985,FNR_7843,9
FNR_9970,FNR_7843,41
FNR_2715,FNR_4621,37
FNR_7379,FNR_4621,63
FNR_1637,FNR_9310,18
FNR_2158,FNR_9310,53
FNR_4925,FNR_9310,29
FNR_1697,FNR_1365,50
FNR_2692,FNR_1365,23
FNR_4344,FNR_1365,27
FNR_1976,FNR_5973,58
FNR_7841,FNR_5973,42
FNR_4617,FNR_5624,15
FNR_3643,FNR_5624,85
FNR_1243,FNR_9199,23
FNR_4281,FNR_9199,77
FNR_5771,FNR_1466,10
FNR_7412,FNR_1466,90
FNR_3558,FNR_5316,100
FNR_3756,FNR_7542,8
FNR_8409,FNR_7542,92
FNR_6665,FNR_6538,31
FNR_8618,FNR_6538,69
FNR_3453,FNR_8854,15
FNR_9082,FNR_8854,85
FNR_1519,FNR_3343,24
FNR_7997,FNR_3343,60
FNR_5847,FNR_3343,16
FNR_5352,FNR_7454,10
FNR_3024,FNR_7454,54
FNR_7983,FNR_7454,36
FNR_2692,FNR_3446,13
FNR_1500,FNR_3446,55
FNR_9313,FNR_3446,32
FNR_6798,FNR_7962,60
FNR_1205,FNR_7962,40
FNR_2869,FNR_6262,10
FNR_8485,FNR_6262,90
FNR_6133,FNR_2208,26
FNR_6150,FNR_2208,74
FNR_6648,FNR_6495,6
FNR_4236,FNR_6495,94
FNR_5549,FNR_8899,12
FNR_9526,FNR_8899,88
FNR_6959,FNR_2376,26
FNR_7501,FNR_2376,74
FNR_1036,FNR_4175,100
FNR_5642,FNR_9570,48
FNR_5954,FNR_9570,52
FNR_3990,FNR_1609,21
FNR_6202,FNR_1609,79
FNR_8026,FNR_7068,100
FNR_5887,FNR_3265,40
FNR_3008,FNR_3265,60
FNR_5023,FNR_4424,57
FNR_6789,FNR_4424,43
FNR_3950,FNR_6921,100
FNR_7535,FNR_6934,37
FNR_4985,FNR_6934,63
FNR_2274,FNR_7584,100
FNR_2376,FNR_9076,46
FNR_7817,FNR_9076,54
FNR_5143,FNR_3938,60
FNR_2286,FNR_3938,40
FNR_9199,FNR_3215,57
FNR_4925,FNR_3215,43
FNR_2308,FNR_1976,20
FNR_4001,FNR_1976,53
FNR_6578,FNR_1976,27
FNR_8618,FNR_8441,38
FNR_2388,FNR_8441,37
FNR_8981,FNR_8441,25
FNR_5112,FNR_5494,100
FNR_8250,FNR_7298,60
FNR_5645,FNR_7298,12
FNR_9000,FNR_7298,28
FNR_6873,FNR_6192,100
FNR_7408,FNR_5916,26
FNR_2851,FNR_5916,36
FNR_3803,FNR_5916,38
FNR_5512,FNR_1291,33
FNR_4231,FNR_1291,38
FNR_1763,FNR_1291,29
FNR_3008,FNR_3585,39
FNR_8816,FNR_3585,52
FNR_6606,FNR_3585,9
FNR_2745,FNR_5847,29
FNR_8516,FNR_5847,12
FNR_7781,FNR_5847,59
FNR_4292,FNR_6243,47
FNR_5008,FNR_6243,53
FNR_4907,FNR_6550,100
FNR_9890,FNR_6326,14
FNR_4530,FNR_6326,86
FNR_6736,FNR_3413,21
FNR_6462,FNR_3413,14
FNR_4844,FNR_3413,65
FNR_7890,FNR_1270,22
FNR_4278,FNR_1270,78
FNR_5267,FNR_8807,100
FNR_3446,FNR_2740,54
FNR_6643,FNR_2740,46
FNR_2715,FNR_2212,36
FNR_5488,FNR_2212,29
FNR_3714,FNR_2212,35
FNR_2716,FNR_8769,22
FNR_9671,FNR_8769,20
FNR_8593,FNR_8769,58
FNR_3585,FNR_2032,51
FNR_6978,FNR_2032,49
FNR_4442,FNR_1065,51
FNR_3938,FNR_1065,49
FNR_9472,FNR_9181,20
FNR_4925,FNR_9181,80
FNR_8101,FNR_9231,100
FNR_8979,FNR_6789,11
FNR_8769,FNR_6789,89
FNR_7981,FNR_8479,21
FNR_3303,FNR_8479,10
FNR_2344,FNR_8479,69
FNR_7915,FNR_5456,43
FNR_8467,FNR_5456,57
FNR_3719,FNR_5774,100
FNR_6978,FNR_7202,16
FNR_2376,FNR_7202,84
FNR_9883,FNR_8077,60
FNR_9162,FNR_8077,35
FNR_5023,FNR_8077,5
FNR_3493,FNR_1817,28
FNR_5468,FNR_1817,48
FNR_4442,FNR_1817,24
FNR_4104,FNR_4682,54
FNR_2223,FNR_4682,12
FNR_7086,FNR_4682,34
FNR_8124,FNR_8187,22
FNR_6130,FNR_8187,78
FNR_4078,FNR_1822,56
FNR_2594,FNR_1822,37
FNR_8802,FNR_1822,7
FNR_1270,FNR_1423,22
FNR_8026,FNR_1423,46
FNR_5302,FNR_1423,32
FNR_8565,FNR_1829,100
FNR_3334,FNR_1449,45
FNR_3562,FNR_1449,55
FNR_5997,FNR_1697,25
FNR_1080,FNR_1697,26
FNR_6263,FNR_1697,49
FNR_1649,FNR_9867,6
FNR_6121,FNR_9867,36
FNR_2740,FNR_9867,58
FNR_1700,FNR_4737,7
FNR_1609,FNR_4737,93
FNR_7438,FNR_4054,16
FNR_3121,FNR_4054,31
FNR_5025,FNR_4054,53
FNR_3439,FNR_7282,100
FNR_6289,FNR_2939,50
FNR_6262,FNR_2939,50
FNR_3474,FNR_6949,100
FNR_5728,FNR_5549,100
FNR_8404,FNR_1302,25
FNR_9776,FNR_1302,47
FNR_4682,FNR_1302,28
FNR_6699,FNR_9330,49
FNR_5645,FNR_9330,51
FNR_7069,FNR_1531,100
FNR_2300,FNR_8124,17
FNR_3121,FNR_8124,21
FNR_3804,FNR_8124,62
FNR_3719,FNR_8064,50
FNR_5754,FNR_8064,32
FNR_2948,FNR_8064,18
FNR_2537,FNR_8855,100
FNR_2300,FNR_2721,27
FNR_9207,FNR_2721,13
FNR_4778,FNR_2721,60
FNR_9475,FNR_3289,24
FNR_7633,FNR_3289,8
FNR_2715,FNR_3289,68
FNR_5471,FNR_2375,31
FNR_7228,FNR_2375,58
FNR_1690,FNR_2375,11
FNR_8807,FNR_2793,14
FNR_1986,FNR_2793,14
FNR_5856,FNR_2793,72
FNR_9567,FNR_5238,100
FNR_3072,FNR_1923,100
FNR_2274,FNR_5510,100
FNR_2361,FNR_4444,55
FNR_8101,FNR_4444,10
FNR_8461,FNR_4444,35
FNR_7065,FNR_3459,100
FNR_3446,FNR_5720,51
FNR_4696,FNR_5720,49
FNR_2388,FNR_5714,11
FNR_2823,FNR_5714,24
FNR_1365,FNR_5714,65
FNR_9297,FNR_3874,30
FNR_4879,FNR_3874,70
FNR_4675,FNR_7272,35
FNR_9416,FNR_7272,14
FNR_9821,FNR_7272,51
FNR_4518,FNR_8307,100
FNR_5162,FNR_7786,100
FNR_4177,FNR_2745,100
FNR_1816,FNR_3446,53
FNR_6037,FNR_3446,47
FNR_6873,FNR_1724,100
FNR_1794,FNR_2223,100
FNR_9414,FNR_6485,23
FNR_3974,FNR_6485,51
FNR_4523,FNR_6485,26
FNR_5771,FNR_2869,100
FNR_2419,FNR_8994,17
FNR_8111,FNR_8994,83
FNR_4097,FNR_6607,6
FNR_5238,FNR_6607,94
FNR_1470,FNR_5884,26
FNR_5053,FNR_5884,74
FNR_8077,FNR_8340,100
FNR_5954,FNR_1103,100
FNR_7433,FNR_9659,22
FNR_4484,FNR_9659,47
FNR_1365,FNR_9659,31
FNR_6733,FNR_6036,56
FNR_3900,FNR_6036,44
FNR_3265,FNR_9000,51
FNR_9023,FNR_9000,5
FNR_6615,FNR_9000,44
FNR_3919,FNR_4572,100
FNR_8034,FNR_5219,43
FNR_5067,FNR_5219,46
FNR_2689,FNR_5219,11
FNR_3089,FNR_6131,25
FNR_4468,FNR_6131,75
FNR_6192,FNR_1442,10
FNR_9502,FNR_1442,90
FNR_2864,FNR_9785,7
FNR_9333,FNR_9785,93
FNR_8036,FNR_1486,28
FNR_7823,FNR_1486,15
FNR_3459,FNR_1486,57
FNR_5327,FNR_1250,36
FNR_1724,FNR_1250,14
FNR_1267,FNR_1250,50
FNR_6538,FNR_3021,100
FNR_5604,FNR_5516,56
FNR_9297,FNR_5516,44
FNR_3192,FNR_2312,6
FNR_1389,FNR_2312,94
FNR_4054,FNR_2531,12
FNR_2290,FNR_2531,88
FNR_4236,FNR_7254,100
FNR_7204,FNR_6724,45
FNR_1837,FNR_6724,12
FNR_5516,FNR_6724,43
FNR_3303,FNR_2344,16
FNR_5169,FNR_2344,84
FNR_6623,FNR_3990,100
FNR_3416,FNR_1690,6
FNR_9000,FNR_1690,27
FNR_7949,FNR_1690,67
FNR_3325,FNR_5063,100
FNR_2274,FNR_6513,100
FNR_1468,FNR_6318,19
FNR_3380,FNR_6318,81
FNR_7095,FNR_4778,17
FNR_9502,FNR_4778,41
FNR_9864,FNR_4778,42
FNR_7636,FNR_3895,100
FNR_8187,FNR_5053,100
FNR_8245,FNR_4412,100
FNR_4617,FNR_7634,55
FNR_3963,FNR_7634,34
FNR_4771,FNR_7634,11
FNR_3125,FNR_9427,27
FNR_7650,FNR_9427,73
FNR_1758,FNR_3890,100
FNR_8098,FNR_2523,37
FNR_6130,FNR_2523,63
FNR_7997,FNR_8315,48
FNR_5774,FNR_8315,46
FNR_9832,FNR_8315,6
FNR_2955,FNR_4064,100
FNR_9570,FNR_6463,24
FNR_8738,FNR_6463,25
FNR_2124,FNR_6463,51
FNR_7829,FNR_1746,38
FNR_1775,FNR_1746,62
FNR_1103,FNR_2767,16
FNR_5196,FNR_2767,84
FNR_5114,FNR_2584,100
FNR_6941,FNR_6615,38
FNR_6232,FNR_6615,47
FNR_3439,FNR_6615,15
FNR_8576,FNR_8618,100
FNR_1625,FNR_2436,57
FNR_1690,FNR_2436,14
FNR_6607,FNR_2436,29
FNR_7379,FNR_9101,34
FNR_5196,FNR_9101,66
FNR_4296,FNR_7627,7
FNR_7282,FNR_7627,26
FNR_1243,FNR_7627,67
FNR_6594,FNR_9399,20
FNR_4985,FNR_9399,80
FNR_8260,FNR_9864,100
FNR_3125,FNR_5303,100
FNR_3360,FNR_7095,36
FNR_2198,FNR_7095,64
FNR_5510,FNR_4097,40
FNR_2920,FNR_4097,55
FNR_9890,FNR_4097,5
FNR_3334,FNR_4221,100
FNR_1597,FNR_7041,12
FNR_1713,FNR_7041,20
FNR_4696,FNR_7041,68
FNR_6337,FNR_5421,47
FNR_9047,FNR_5421,15
FNR_6895,FNR_5421,38
FNR_4696,FNR_8846,12
FNR_2344,FNR_8846,88
FNR_7914,FNR_5592,100
FNR_2314,FNR_1744,27
FNR_8450,FNR_1744,58
FNR_5221,FNR_1744,15
FNR_2914,FNR_7715,19
FNR_3949,FNR_7715,28
FNR_6119,FNR_7715,53
FNR_8889,FNR_9502,100
FNR_5793,FNR_9664,45
FNR_6440,FNR_9664,55
FNR_4604,FNR_9015,45
FNR_8124,FNR_9015,55
FNR_1390,FNR_9297,7
FNR_9929,FNR_9297,12
FNR_3063,FNR_9297,81
FNR_4602,FNR_5080,100
FNR_1389,FNR_8379,24
FNR_7204,FNR_8379,76
FNR_8894,FNR_7981,100
FNR_7366,FNR_3453,33
FNR_8770,FNR_3453,67
FNR_3900,FNR_6758,100
FNR_6249,FNR_8987,28
FNR_5887,FNR_8987,72
FNR_5036,FNR_8109,36
FNR_1267,FNR_8109,28
FNR_9141,FNR_8109,36
FNR_1445,FNR_5169,46
FNR_1423,FNR_5169,54
FNR_8889,FNR_7668,57
FNR_6237,FNR_7668,43
FNR_7939,FNR_4089,55
FNR_3152,FNR_4089,30
FNR_7068,FNR_4089,15
FNR_7636,FNR_3799,100
FNR_6131,FNR_8220,100
FNR_9502,FNR_5273,23
FNR_8187,FNR_5273,22
FNR_7095,FNR_5273,55
FNR_7636,FNR_1280,34
FNR_1205,FNR_1280,66
FNR_8398,FNR_3008,100
FNR_6462,FNR_4598,31
FNR_3185,FNR_4598,69
FNR_2939,FNR_2715,100
FNR_8907,FNR_1044,100
FNR_5856,FNR_5556,40
FNR_7402,FNR_5556,60
FNR_2314,FNR_6337,18
FNR_4633,FNR_6337,42
FNR_7522,FNR_6337,40
FNR_8412,FNR_7781,100
FNR_2881,FNR_5424,100
FNR_8516,FNR_7719,41
FNR_8307,FNR_7719,59
FNR_3062,FNR_6755,100
FNR_2933,FNR_6785,52
FNR_3325,FNR_6785,21
FNR_8461,FNR_6785,27
FNR_4598,FNR_1217,9
FNR_1816,FNR_1217,45
FNR_2537,FNR_1217,46
FNR_5051,FNR_3152,47
FNR_5645,FNR_3152,27
FNR_8565,FNR_3152,26
FNR_7516,FNR_3303,57
FNR_5971,FNR_3303,17
FNR_6556,FNR_3303,26
FNR_2312,FNR_1347,42
FNR_1390,FNR_1347,58
FNR_2767,FNR_6606,57
FNR_3224,FNR_6606,43
FNR_7608,FNR_3558,100
FNR_4297,FNR_6128,52
FNR_7995,FNR_6128,48
FNR_1177,FNR_2314,60
FNR_9427,FNR_2314,31
FNR_6479,FNR_2314,9
FNR_7412,FNR_2314,100
FNR_5971,FNR_9447,45
FNR_4961,FNR_9447,55
FNR_1923,FNR_7823,34
FNR_9181,FNR_7823,66
FNR_8802,FNR_1986,40
FNR_4177,FNR_1986,34
FNR_1970,FNR_1986,26
FNR_4104,FNR_9761,100
FNR_4109,FNR_7908,100
FNR_3085,FNR_6680,9
FNR_3574,FNR_6680,91
FNR_8528,FNR_8889,100
FNR_2481,FNR_8805,22
FNR_2614,FNR_8805,8
FNR_7650,FNR_8805,70
FNR_4571,FNR_1700,7
FNR_9421,FNR_1700,50
FNR_7366,FNR_1700,43
FNR_4518,FNR_4022,100
FNR_4311,FNR_7906,100
FNR_2731,FNR_7260,58
FNR_6263,FNR_7260,42
FNR_8607,FNR_8484,54
FNR_2376,FNR_8484,14
FNR_2072,FNR_8484,32
FNR_4022,FNR_1285,100
FNR_4419,FNR_1064,12
FNR_8979,FNR_1064,88
FNR_4054,FNR_1080,50
FNR_2846,FNR_1080,50
FNR_8955,FNR_5391,58
FNR_6121,FNR_5391,42
FNR_8409,FNR_5267,100
FNR_2933,FNR_9313,100
FNR_5292,FNR_1649,100
FNR_8889,FNR_2672,44
FNR_4054,FNR_2672,51
FNR_5624,FNR_2672,5
FNR_8575,FNR_8409,11
FNR_5626,FNR_8409,89
FNR_2895,FNR_1468,100
FNR_8738,FNR_7379,53
FNR_7072,FNR_7379,9
FNR_1442,FNR_7379,38
FNR_6131,FNR_5692,19
FNR_9739,FNR_5692,19
FNR_3334,FNR_5692,62
FNR_4340,FNR_8363,100
FNR_5549,FNR_5471,25
FNR_1416,FNR_5471,75
FNR_2308,FNR_3493,100
FNR_2274,FNR_4613,30
FNR_9158,FNR_4613,55
FNR_2098,FNR_4613,15
FNR_9143,FNR_1812,59
FNR_2300,FNR_1812,12
FNR_7501,FNR_1812,29
FNR_6133,FNR_1243,32
FNR_7906,FNR_1243,68
FNR_3822,FNR_7831,53
FNR_3289,FNR_7831,47
FNR_7623,FNR_5856,14
FNR_2098,FNR_5856,86
FNR_3085,FNR_4296,100
FNR_7983,FNR_9831,16
FNR_2195,FNR_9831,84
FNR_3900,FNR_6037,100
FNR_5645,FNR_9273,55
FNR_9405,FNR_9273,36
FNR_9217,FNR_9273,9
FNR_5222,FNR_1735,21
FNR_3062,FNR_1735,32
FNR_4604,FNR_1735,47
FNR_8607,FNR_3958,38
FNR_5303,FNR_3958,27
FNR_3474,FNR_3958,35
FNR_9333,FNR_8112,49
FNR_2955,FNR_8112,51
FNR_3585,FNR_6887,100
FNR_8484,FNR_1508,17
FNR_8802,FNR_1508,83
FNR_8818,FNR_8528,100
FNR_2715,FNR_2191,18
FNR_6007,FNR_2191,82
FNR_2290,FNR_7631,100
FNR_7794,FNR_2566,6
FNR_9840,FNR_2566,94
FNR_1445,FNR_9663,12
FNR_6895,FNR_9663,88
FNR_2312,FNR_9870,28
FNR_3803,FNR_9870,72
FNR_9101,FNR_2823,20
FNR_2211,FNR_2823,80
FNR_9363,FNR_5372,42
FNR_6941,FNR_5372,48
FNR_4484,FNR_5372,10
FNR_7995,FNR_4570,100
FNR_3089,FNR_8108,48
FNR_8575,FNR_8108,52
FNR_9247,FNR_2071,100
FNR_8052,FNR_7890,8
FNR_8109,FNR_7890,19
FNR_2471,FNR_7890,73
FNR_9919,FNR_2198,100
FNR_1302,FNR_4278,100
FNR_3905,FNR_5626,30
FNR_4870,FNR_5626,44
FNR_1976,FNR_5626,26
FNR_7781,FNR_7433,100
FNR_7584,FNR_7130,6
FNR_8109,FNR_7130,94
FNR_7831,FNR_5418,59
FNR_5604,FNR_5418,34
FNR_9417,FNR_5418,7
FNR_9970,FNR_7055,31
FNR_2211,FNR_7055,69
FNR_4397,FNR_7402,13
FNR_6736,FNR_7402,87
FNR_7794,FNR_5645,7
FNR_2158,FNR_5645,58
FNR_5221,FNR_5645,35
FNR_1531,FNR_5840,58
FNR_5008,FNR_5840,42
